MIN_SEP_M,PEAK_PROM_QUANTILE,MIN_SCALE_SUPPORT,TAU_M,syn_mean_f1,syn_mean_precision,syn_mean_recall,syn_mean_mae,real_mean_n_boundaries,real_n_profiles_used
0.25,0.9,3,0.25,0.2036537571905219,0.14675408896658892,0.3505,0.1038724137931033,10.7,20
0.25,0.9,3,0.35,0.2036537571905219,0.14675408896658892,0.3505,0.1038724137931033,10.7,20
0.25,0.9,4,0.25,0.2195333818958819,0.1638043387168387,0.3505,0.1038724137931033,8.7,20
0.25,0.9,4,0.35,0.2195333818958819,0.1638043387168387,0.3505,0.1038724137931033,8.7,20
0.25,0.95,3,0.25,0.33842850420992837,0.21622416264291264,0.7963333333333332,0.05312206572769939,8.65,20
0.25,0.95,3,0.35,0.33842850420992837,0.21622416264291264,0.7963333333333332,0.05312206572769939,8.65,20
0.25,0.95,4,0.25,0.4404325751862516,0.3078173951048951,0.7963333333333332,0.05312206572769939,7.05,20
0.25,0.95,4,0.35,0.4404325751862516,0.3078173951048951,0.7963333333333332,0.05312206572769939,7.05,20
0.5,0.9,3,0.25,0.2832059709955096,0.1652467114071709,1.0,0.0049849999999998515,12.45,20
0.5,0.9,3,0.35,0.2832059709955096,0.1652467114071709,1.0,0.0049849999999998515,12.45,20
0.5,0.9,4,0.25,0.3264252747818655,0.1955322830397941,1.0,0.0049849999999998515,10.35,20
0.5,0.9,4,0.35,0.3264252747818655,0.1955322830397941,1.0,0.0049849999999998515,10.35,20
0.5,0.95,3,0.25,0.3490492213057952,0.21209945099405234,1.0,0.0049849999999998515,8.5,20
0.5,0.95,3,0.35,0.3490492213057952,0.21209945099405234,1.0,0.0049849999999998515,8.5,20
0.5,0.95,4,0.25,0.48776057202601314,0.3251257783882784,1.0,0.0049849999999998515,7.0,20
0.5,0.95,4,0.35,0.48776057202601314,0.3251257783882784,1.0,0.0049849999999998515,7.0,20
0.8,0.9,3,0.25,0.3291883368471166,0.1973160664155246,1.0,0.0049849999999998515,10.2,20
0.8,0.9,3,0.35,0.3291883368471166,0.1973160664155246,1.0,0.0049849999999998515,10.2,20
0.8,0.9,4,0.25,0.4073547724334489,0.256826387950285,1.0,0.0049849999999998515,8.2,20
0.8,0.9,4,0.35,0.4073547724334489,0.256826387950285,1.0,0.0049849999999998515,8.2,20
0.8,0.95,3,0.25,0.4345327310975919,0.2791420023603847,1.0,0.0049849999999998515,7.35,20
0.8,0.95,3,0.35,0.4345327310975919,0.2791420023603847,1.0,0.0049849999999998515,7.35,20
0.8,0.95,4,0.25,0.6023046453546453,0.43739868048618047,1.0,0.0049849999999998515,5.75,20
0.8,0.95,4,0.35,0.6023046453546453,0.43739868048618047,1.0,0.0049849999999998515,5.75,20
